,X,Y,OBJECTID,COD_SIG,IDTIPO,MORADA,DESIGNACAO,TIPOLOGIA,SE_ANNO_CAD_DATA,GlobalID,_lat_,_lng_,_type_,_name_
101,-9.17294052571879,38.7289024254268,102,1010,4,"Rua O do Bairro da Liberdade, junto ao 27-27A",Fontanário 1 na Vila Ferro ao Bairro da Liberdade,,,4820429f-aacd-4cea-a908-5903ba105bdd,0.0,0.0,,
102,-9.17137815062382,38.7306640390538,103,1008,4,Rua dos Arcos,Fontanário na Rua dos Arcos,,,607d93e1-aae8-4dce-92e4-c7a5cfd77c09,0.0,0.0,,
103,-9.17040209064343,38.7329844209976,104,1012,4,Escadinhas da Liberdade(antiga Rua D do Bairro da Liberdade),Fontanário das Escadinhas da Liberdade,,,f1d66647-9587-4eb9-8f06-13a679cf5a6a,0.0,0.0,,
104,-9.1702407217774,38.7344973047728,105,1013,4,"Rua B do Bairro da Liberdade, junto ao 99",Poço no Bairro da Liberdade,,,a1e62153-9154-461d-a05d-422f14ebbdbc,0.0,0.0,,
105,-9.13347093626335,38.7125552136913,106,1244,4,Castelo de São Jorge,Fontanário 9,Fontanário,,adbfaf97-ac46-4805-bc55-d397c39d5636,0.0,0.0,,
106,-9.13330380739969,38.7129612501349,107,1246,4,Castelo de São Jorge,Fontanário 11,Fontanário,,a0ccda78-728d-46fd-b815-f5205b361f6c,0.0,0.0,,
107,-9.13918973353294,38.7133674062361,108,3103,4,Praça D. Pedro IV,Fonte Sul da Praça Dom Pedro IV,Fonte,,ee11ef23-ac83-46ef-9252-e00cb31553f7,0.0,0.0,,
108,-9.13049095676796,38.7372885740122,109,301,4,Alameda Dom Afonso Henriques,Fonte Monumental,Fonte,,a767a0cb-1a6b-434e-bb87-698ee8ca6644,0.0,0.0,,
109,-9.21337115711972,38.6964216338423,110,3211,4,Rua Vila Correia,Lago dos Viveiros da Quinta de Vila Correia,Lago,,52eeb299-88f7-4826-a8e1-831201cffb1c,0.0,0.0,,
110,-9.16246812513834,38.7192223530181,111,3003,4,Travessa de Cima dos Quartéis,Fontanário na T ravessa de Cima dos Quartéis,,,f985f9b6-55ca-4581-a705-e7bca02651fe,0.0,0.0,,
111,-9.15066302173159,38.7389536786914,112,2305,4,Jardim Amélia Carvalheira,Bebedouro no Parque Infantil do Jardim Amélia Carvalheira,Bebedouro,,6b4fecc5-1e5a-436e-b43f-7f78e2f135d1,38.7389536786914,-9.15066302173159,BEBEDOURO,Bebedouro no Parque Infantil do Jardim Amélia Carvalheira - Jardim Amélia Carvalheira
112,-9.15486634225227,38.7433241281355,113,2310,4,Rua Augusto Abelaira(antiga Rua Projectada A à Rua Sousa Lopes),Bebedouro na Rua Augusto Abeleira,Bebedouro,,b7c74e50-f9b2-4bf0-893d-121d05d0b6e8,38.7433241281355,-9.15486634225227,BEBEDOURO,Bebedouro na Rua Augusto Abeleira - Rua Augusto Abelaira(antiga Rua Projectada A à Rua Sousa Lopes)
113,-9.19976522441909,38.6963886810745,114,3205,4,"Praça Afonso de Albuquerque, Jardim Afonso de Albuquerque",Lago Nascente Sul do Jardim Afonso de Albuquerque,Lago,,48a29fe3-f3bb-4220-aa8a-7468df485b1e,0.0,0.0,,
114,-9.17437271696281,38.7717279648417,115,1826,4,"Alameda Mahatma Gandhi, Quinta de São Cristóvão",Lago 2 na Quinta de São Cristóvão,Lago,,a81be357-d329-4bb2-9adb-fd31fc4b5ae2,0.0,0.0,,
115,-9.15051384929214,38.7276821666058,116,5015,4,Parque Eduardo VII de Inglaterra,Chafariz no Pq. Eduardo VII de Inglaterra,,,07acf367-015f-4c50-9dab-8c3c0abab92a,0.0,0.0,,
116,-9.15515727603007,38.7132477456079,117,1718,4,Rua da Imprensa à Estrela,Lago no Jardim da Residência Oficial do Primeiro Ministro,,,4af7b555-f6ad-4bc8-9138-1bff324fd761,0.0,0.0,,
117,-9.15509582856967,38.7128923366461,118,1719,4,Rua da Imprensa à Estrela,Fonte no Jardim da Residência Oficial do Primeiro Ministro,,,b11636d7-c8ed-4c35-9ac0-340beaeae4af,0.0,0.0,,
118,-9.13742705119761,38.7308217749182,119,4404,4,Rua de Pascoal de Melo,Bebedouro no Jardim Constantino,Bebedouro,,4289ba20-f61e-47d3-9b88-b156977c5a2d,38.7308217749182,-9.13742705119761,BEBEDOURO,Bebedouro no Jardim Constantino - Rua de Pascoal de Melo
119,-9.16854746753541,38.7603181717678,120,1875,4,Jardim Prof. António de Sousa Franco,Tanque da Esplanada - Telheiras,Tanque,,7a87af88-838d-4ccf-83d2-f7571e3006c0,0.0,0.0,,
120,-9.1480091450574,38.7253474789238,121,1403,4,Rua Camilo Castelo Branco,Bebedouro na Rua Camilo Castelo Branco,Bebedouro,,d3bc032f-25f3-47f0-95b2-ab11367e8e50,38.7253474789238,-9.1480091450574,BEBEDOURO,Bebedouro na Rua Camilo Castelo Branco - Rua Camilo Castelo Branco
